# Industry: Federal, except U.S. Postal Service
# Series ID: CES9091100001
# Parent series: Government (CES9000000001)
# Generated: 2026-03-05
# Denominator options:
#   opt1: Level 4 parent (default) = Government
#   opt2: Level 3 parent = Government
#   opt3: Level 2 parent = Government
#   opt4: Goods/Service-providing total = Government
#   opt5: Total private / Total government = Government
date,employment_level,log_level,trend_log_level,predicted_level,resid_log_level,share_opt1,denom_employment_opt1,log_share_opt1,trend_log_share_opt1,predicted_share_opt1,resid_log_share_opt1,trend_raw_share_opt1,resid_raw_pct_dev_opt1,hp_cf_log_share_opt1,predicted_share_hp_opt1,resid_log_share_hp_opt1,share_opt2,denom_employment_opt2,log_share_opt2,trend_log_share_opt2,predicted_share_opt2,resid_log_share_opt2,trend_raw_share_opt2,resid_raw_pct_dev_opt2,hp_cf_log_share_opt2,predicted_share_hp_opt2,resid_log_share_hp_opt2,share_opt3,denom_employment_opt3,log_share_opt3,trend_log_share_opt3,predicted_share_opt3,resid_log_share_opt3,trend_raw_share_opt3,resid_raw_pct_dev_opt3,hp_cf_log_share_opt3,predicted_share_hp_opt3,resid_log_share_hp_opt3,share_opt4,denom_employment_opt4,log_share_opt4,trend_log_share_opt4,predicted_share_opt4,resid_log_share_opt4,trend_raw_share_opt4,resid_raw_pct_dev_opt4,hp_cf_log_share_opt4,predicted_share_hp_opt4,resid_log_share_hp_opt4,share_opt5,denom_employment_opt5,log_share_opt5,trend_log_share_opt5,predicted_share_opt5,resid_log_share_opt5,trend_raw_share_opt5,resid_raw_pct_dev_opt5,hp_cf_log_share_opt5,predicted_share_hp_opt5,resid_log_share_hp_opt5
2000-01,1887.3,7.542902515244093,,,,0.09174566136794517,20571.0,-2.3887350807083805,,,,,,,,,0.09174566136794517,20571.0,-2.3887350807083805,,,,,,,,,0.09174566136794517,20571.0,-2.3887350807083805,,,,,,,,,0.09174566136794517,20571.0,-2.3887350807083805,,,,,,,,,0.09174566136794517,20571.0,-2.3887350807083805,,,,,,,,
2000-02,1915.5,7.557733964140704,,,,0.09298995096849362,20599.0,-2.375263845769365,,,,,,,,,0.09298995096849362,20599.0,-2.375263845769365,,,,,,,,,0.09298995096849362,20599.0,-2.375263845769365,,,,,,,,,0.09298995096849362,20599.0,-2.375263845769365,,,,,,,,,0.09298995096849362,20599.0,-2.375263845769365,,,,,,,,
2000-03,2002.0,7.601901959875166,,,,0.09656103795880963,20733.0,-2.337579952884338,,,,,,,,,0.09656103795880963,20733.0,-2.337579952884338,,,,,,,,,0.09656103795880963,20733.0,-2.337579952884338,,,,,,,,,0.09656103795880963,20733.0,-2.337579952884338,,,,,,,,,0.09656103795880963,20733.0,-2.337579952884338,,,,,,,,
2000-04,2026.6,7.6141147910142175,,,,0.0974233246803192,20802.0,-2.3286896238988612,,,,,,,,,0.0974233246803192,20802.0,-2.3286896238988612,,,,,,,,,0.0974233246803192,20802.0,-2.3286896238988612,,,,,,,,,0.0974233246803192,20802.0,-2.3286896238988612,,,,,,,,,0.0974233246803192,20802.0,-2.3286896238988612,,,,,,,,
2000-05,2363.6,7.767941159471519,,,,0.11176999101527403,21147.0,-2.1913121709704657,,,,,,,,,0.11176999101527403,21147.0,-2.1913121709704657,,,,,,,,,0.11176999101527403,21147.0,-2.1913121709704657,,,,,,,,,0.11176999101527403,21147.0,-2.1913121709704657,,,,,,,,,0.11176999101527403,21147.0,-2.1913121709704657,,,,,,,,
2000-06,2125.9,7.661950521107016,,,,0.10178101211279744,20887.0,-2.2849317137483007,,,,,,,,,0.10178101211279744,20887.0,-2.2849317137483007,,,,,,,,,0.10178101211279744,20887.0,-2.2849317137483007,,,,,,,,,0.10178101211279744,20887.0,-2.2849317137483007,,,,,,,,,0.10178101211279744,20887.0,-2.2849317137483007,,,,,,,,
2000-07,2063.5,7.632158849192637,,,,0.09888819667417453,20867.0,-2.313765393540748,,,,,,,,,0.09888819667417453,20867.0,-2.313765393540748,,,,,,,,,0.09888819667417453,20867.0,-2.313765393540748,,,,,,,,,0.09888819667417453,20867.0,-2.313765393540748,,,,,,,,,0.09888819667417453,20867.0,-2.313765393540748,,,,,,,,
2000-08,1978.7,7.5901953423983946,,,,0.09496088688390844,20837.0,-2.354290189171806,,,,,,,,,0.09496088688390844,20837.0,-2.354290189171806,,,,,,,,,0.09496088688390844,20837.0,-2.354290189171806,,,,,,,,,0.09496088688390844,20837.0,-2.354290189171806,,,,,,,,,0.09496088688390844,20837.0,-2.354290189171806,,,,,,,,
2000-09,1867.9,7.532570084165258,,,,0.09008439836026043,20735.0,-2.4070082885152244,,,,,,,,,0.09008439836026043,20735.0,-2.4070082885152244,,,,,,,,,0.09008439836026043,20735.0,-2.4070082885152244,,,,,,,,,0.09008439836026043,20735.0,-2.4070082885152244,,,,,,,,,0.09008439836026043,20735.0,-2.4070082885152244,,,,,,,,
2000-10,1857.7,7.527094442397359,,,,0.08955792315479921,20743.0,-2.412869676948787,,,,,,,,,0.08955792315479921,20743.0,-2.412869676948787,,,,,,,,,0.08955792315479921,20743.0,-2.412869676948787,,,,,,,,,0.08955792315479921,20743.0,-2.412869676948787,,,,,,,,,0.08955792315479921,20743.0,-2.412869676948787,,,,,,,,
