# Industry: Electric power generation, transmission and distribution
# Series ID: CES4422110001
# Parent series: Utilities (CES4422000001)
# Generated: 2026-03-05
# Denominator options:
#   opt1: Level 4 parent (default) = Utilities
#   opt2: Level 3 parent = Utilities
#   opt3: Level 2 parent = Service-providing
#   opt4: Goods/Service-providing total = Service-providing
#   opt5: Total private / Total government = Total private
date,employment_level,log_level,trend_log_level,predicted_level,resid_log_level,share_opt1,denom_employment_opt1,log_share_opt1,trend_log_share_opt1,predicted_share_opt1,resid_log_share_opt1,trend_raw_share_opt1,resid_raw_pct_dev_opt1,share_opt2,denom_employment_opt2,log_share_opt2,trend_log_share_opt2,predicted_share_opt2,resid_log_share_opt2,trend_raw_share_opt2,resid_raw_pct_dev_opt2,share_opt3,denom_employment_opt3,log_share_opt3,trend_log_share_opt3,predicted_share_opt3,resid_log_share_opt3,trend_raw_share_opt3,resid_raw_pct_dev_opt3,share_opt4,denom_employment_opt4,log_share_opt4,trend_log_share_opt4,predicted_share_opt4,resid_log_share_opt4,trend_raw_share_opt4,resid_raw_pct_dev_opt4,share_opt5,denom_employment_opt5,log_share_opt5,trend_log_share_opt5,predicted_share_opt5,resid_log_share_opt5,trend_raw_share_opt5,resid_raw_pct_dev_opt5
2000-01,436.3,6.078330080129564,,,,0.71996699669967,606.0,-0.3285499059397505,,,,,,0.71996699669967,606.0,-0.3285499059397505,,,,,,0.004101257731571131,106382.0,-5.496461588516432,,,,,,0.004101257731571131,106382.0,-5.496461588516432,,,,,,0.0039505613908004346,110440.0,-5.533897585914527,,,,,
2000-02,435.6,6.076724391058805,,,,0.7202380952380953,604.8,-0.3281734338065177,,,,,,0.7202380952380953,604.8,-0.3281734338065177,,,,,,0.004089680036052276,106512.0,-5.499288542781679,,,,,,0.004089680036052276,106512.0,-5.499288542781679,,,,,,0.00394133241646384,110521.0,-5.536236436073697,,,,,
2000-03,435.3,6.076035448558252,,,,0.7216511936339522,603.2,-0.32621336813549445,,,,,,0.7216511936339522,603.2,-0.32621336813549445,,,,,,0.0040721061198525695,106898.0,-5.503594939205967,,,,,,0.0040721061198525695,106898.0,-5.503594939205967,,,,,,0.003926184484671375,110871.0,-5.540087193739941,,,,,
2000-04,434.8,6.0748861552470546,,,,0.7217795484727756,602.4,-0.3260355212386294,,,,,,0.7217795484727756,602.4,-0.3260355212386294,,,,,,0.004056159335789916,107195.0,-5.507518729492977,,,,,,0.004056159335789916,107195.0,-5.507518729492977,,,,,,0.0039142255270880975,111082.0,-5.543137791053004,,,,,
2000-05,433.8,6.072583598392774,,,,0.7220372836218376,600.8,-0.3256785020571509,,,,,,0.7220372836218376,600.8,-0.3256785020571509,,,,,,0.004036888487702286,107459.0,-5.512281060058539,,,,,,0.004036888487702286,107459.0,-5.512281060058539,,,,,,0.003909587411452982,110958.0,-5.544323431920158,,,,,
2000-06,433.6,6.072122450125437,,,,0.7229076358786263,599.8,-0.3244738161894722,,,,,,0.7229076358786263,599.8,-0.3244738161894722,,,,,,0.004037507100090322,107393.0,-5.512127831898606,,,,,,0.004037507100090322,107393.0,-5.512127831898606,,,,,,0.003900122328560121,111176.0,-5.546747360040982,,,,,
2000-07,434.1,6.073274922305548,,,,0.7239826551034023,599.6,-0.3229878439228947,,,,,,0.7239826551034023,599.6,-0.3229878439228947,,,,,,0.004037726372185172,107511.0,-5.512073524590797,,,,,,0.004037726372185172,107511.0,-5.512073524590797,,,,,,0.003898133098661111,111361.0,-5.547257533107437,,,,,
2000-08,433.5,6.071891796220597,,,,0.7228614307153576,599.7,-0.32453773395386765,,,,,,0.7228614307153576,599.7,-0.32453773395386765,,,,,,0.004030645926118771,107551.0,-5.513828636432983,,,,,,0.004030645926118771,107551.0,-5.513828636432983,,,,,,0.003891487203425586,111397.0,-5.548963879910059,,,,,
2000-09,433.3,6.071430328745864,,,,0.7242186194216949,598.3,-0.32266197165012234,,,,,,0.7242186194216949,598.3,-0.32266197165012234,,,,,,0.004023362056158075,107696.0,-5.515637393504631,,,,,,0.004023362056158075,107696.0,-5.515637393504631,,,,,,0.00388254690776151,111602.0,-5.551263921169856,,,,,
2000-10,434.2,6.073505257444191,,,,0.7233050141595869,600.3,-0.32392427281360586,,,,,,0.7233050141595869,600.3,-0.32392427281360586,,,,,,0.004031045175186141,107714.0,-5.513729587967177,,,,,,0.004031045175186141,107714.0,-5.513729587967177,,,,,,0.003890367264288722,111609.0,-5.5492517133948,,,,,
2000-11,433.7,6.07235305084132,,,,0.7231949307987326,599.7,-0.3240764793331436,,,,,,0.7231949307987326,599.7,-0.3240764793331436,,,,,,0.004018270763073046,107932.0,-5.51690362733543,,,,,,0.004018270763073046,107932.0,-5.51690362733543,,,,,,0.003879387455722924,111796.0,-5.552078010046448,,,,,
